Question,Answer
1958년 스웨덴 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
1966년 잉글랜드 월드컵 우승 기록이 뭐야?,"본선 진출, 8강입니다."
1970년 멕시코 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
1982년 스페인 월드컵 우승 기록이 뭐야?,"본선 진출, 16강입니다."
1986년 멕시코 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
1990년 이탈리아 월드컵 우승 기록이 뭐야?,"본선 진출, 8강입니다."
1994년 미국 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
1998년 프랑스 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
2002년 한일 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
2010년 남아공 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
2014년 브라질 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
2018년 러시아 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
2022년 카타르 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
번리의 정식명칭은 뭐야?,번리의 정식명칭은 Burnley Football Club입니다.
번리의 이름이 뭐야?,번리의 정식명칭은 Burnley Football Club입니다.
번리의 영어이름은 뭐야?,번리의 정식명칭은 Burnley Football Club입니다.
번리의 약칭은 뭐야?,번리의 약칭은 The Clarets입니다.
번리의 별칭은 뭐야?,번리의 별칭은 The Clarets입니다.
번리의 별명은 뭐야?,번리의 별칭은 The Clarets입니다.
번리의 창단일은 언제야?,번리의 창단일은 1882년 5월 18일입니다.
번리는 언제 만들어졌어?,번리의 창단일은 1882년 5월 18일입니다.
번리의 홈구장은 어디야?,번리의 홈구장은 터프 무어(Turf Moor)입니다.
번리의 라이벌은 누구야?,번리의 라이벌은 블랙번 로버스 FC입니다.
번리의 라이벌은 어디야?,번리의 라이벌은 블랙번 로버스 FC입니다.
번리의 창립자는 누구야?,번리의 창립자는 지주와 사업가 그룹이었습니다.
번리를 만든 사람은 누구야?,번리의 창립자는 지주와 사업가 그룹이었습니다.
번리의 구단주는 누구야?,번리의 구단주는 ALK Capital입니다.
번리의 회장은 누구야?,번리의 회장은 앨런 페이스(Alan Pace)입니다.
번리의 단장은 누구야?,번리의 단장은 마이크 리그스(Mike Rigg)입니다.
번리의 감독은 누구야?,번리의 감독은 빈센트 콤파니(Vincent Kompany)입니다.
번리의 주장은 누구야?,번리의 주장은 잭 코크(Jack Cork)입니다.
번리의 선수목록을 알려줘,"""번리의 선수목록입니다. 1. 아리야네트 무리치 (Arijanet Muric) 2. 콘라드 리만도우스키 (Connor Roberts) 3. 찰리 테일러 (Charlie Taylor) 4. 잭 코크 (Jack Cork) 5. 제임스 타코우스키 (James Tarkowski) 6. 벤 미 (Ben Mee) 7. 요한 구드문드손 (Johann Gudmundsson) 8. 조시 브라운힐 (Josh Brownhill) 9. 애슐리 반스 (Ashley Barnes) 10. 매테이 비드라 (Matej Vydra) 11. 드와이트 맥닐 (Dwight McNeil) 12. 로비 브래디 (Robbie Brady) 13. 웨인 헤네시 (Wayne Hennessey) 14. 너새니얼 필립스 (Nathaniel Phillips) 15. 에릭 피터스 (Erik Pieters) 16. 데일 스티븐스 (Dale Stephens) 17. 아론 레넌 (Aaron Lennon) 18. 애슐리 웨스트우드 (Ashley Westwood) 19. 제이 로드리게스 (Jay Rodriguez) 20. 케빈 롱 (Kevin Long) 21. 피터 크라우치 (Peter Crouch) 22. 필 바슬리 (Phil Bardsley)"""
번리의 부주장은 누구야?,번리의 부주장은 제임스 타코우스키(James Tarkowski)입니다.
번리의 UEFA 랭킹은 몇 위야?,번리의 UEFA 랭킹은 130위입니다.
번리의 역대 한국인 선수는 누구야?,번리의 역대 한국인 선수는 없습니다.
번리의 클럽 앰버서더는 누구야?,"번리의 클럽 앰버서더는 앤디 콜(Andy Cole), 마이크 서머비(Mike Summerbee), 클라이브 델린저(Clive Delinger)입니다."
번리의 클럽 명예의 전당 멤버는 누구야?,번리의 클럽 명예의 전당 멤버는 앤디 콜(Andy Cole)입니다.
번리의 공식 웹사이트는 뭐야?,번리의 공식 웹사이트는 Burnley FC Official Website입니다.
번리의 최근 영입 선수는 누구야?,"번리의 최근 영입 선수는 코너 로버츠(Connor Roberts)입니다(2023년, From Swansea City)."
번리의 최근 방출 선수는 누구야?,"번리의 최근 방출 선수는 케빈 롱(Kevin Long)입니다(2024년, To Accrington Stanley)."
번리의 최다 출장 선수는 누구야?,번리의 최다 출장 선수는 잭 코크(Jack Cork)입니다 - 613경기 (2010~2022).
번리의 최다 득점 선수는 누구야?,번리의 최다 득점 선수는 애슐리 반스(Ashley Barnes)입니다 - 185골 (2014~현재).
번리의 최다 도움 선수는 누구야?,번리의 최다 도움 선수는 드와이트 맥닐(Dwight McNeil)입니다 - 89도움 (2018~현재).
번리의 1959-60 시즌 리그 득점왕은 누구야?,번리의 1959-60 시즌 리그 득점왕은 레이 포인터(Ray Pointer)입니다 - 22골입니다.
번리의 1967-68 시즌 리그 득점왕은 누구야?,번리의 1967-68 시즌 리그 득점왕은 프랭크 캐스퍼(Frank Casper)입니다 - 18골입니다.
번리의 1998-99 시즌 리그 득점왕은 누구야?,번리의 1998-99 시즌 리그 득점왕은 앤디 쿡(Andy Cook)입니다 - 14골입니다.
번리의 2002-03 시즌 리그 득점왕은 누구야?,번리의 2002-03 시즌 리그 득점왕은 로비 블레이크(Robbie Blake)입니다 - 24골입니다.
번리의 2007-08 시즌 리그 득점왕은 누구야?,번리의 2007-08 시즌 리그 득점왕은 앤디 그레이(Andy Gray)입니다 - 16골입니다.
번리의 2010-11 시즌 리그 득점왕은 누구야?,번리의 2010-11 시즌 리그 득점왕은 크리스 이웰루모(Chris Iwelumo)입니다 - 19골입니다.
번리의 2012-13 시즌 리그 득점왕은 누구야?,번리의 2012-13 시즌 리그 득점왕은 찰리 오스틴(Charlie Austin)입니다 - 17골입니다.
번리의 1967-68 시즌 리그 도움왕은 누구야?,번리의 1967-68 시즌 리그 도움왕은 프랭크 캐스퍼(Frank Casper)입니다 - 8도움입니다.
번리의 1992-93 시즌 리그 도움왕은 누구야?,번리의 1992-93 시즌 리그 도움왕은 존 드로먼드(John Drummond)입니다 - 11도움입니다.
번리의 1996-97 시즌 리그 도움왕은 누구야?,번리의 1996-97 시즌 리그 도움왕은 리 차프먼(Lee Chapman)입니다 - 13도움입니다.
번리의 1997-98 시즌 리그 도움왕은 누구야?,번리의 1997-98 시즌 리그 도움왕은 폴 와이팅엄(Paul Wittingham)입니다 - 10도움입니다.
번리의 1999-00 시즌 리그 도움왕은 누구야?,번리의 1999-00 시즌 리그 도움왕은 리 차프먼(Lee Chapman)입니다 - 11도움입니다.
번리의 2000-01 시즌 리그 도움왕은 누구야?,번리의 2000-01 시즌 리그 도움왕은 로비 블레이크(Robbie Blake)입니다 - 10도움입니다.
번리의 2006-07 시즌 리그 도움왕은 누구야?,번리의 2006-07 시즌 리그 도움왕은 웨이드 엘리어트(Wade Elliott)입니다 - 9도움입니다.
번리의 2010-11 시즌 리그 도움왕은 누구야?,번리의 2010-11 시즌 리그 도움왕은 잭 코크(Jack Cork)입니다 - 11도움입니다.
번리의 1994-95 시즌 리그 클린시트왕은 누구야?,번리의 1994-95 시즌 리그 클린시트왕은 크리스 피어스(Chris Pearce)입니다 - 14회입니다.
번리의 1995-96 시즌 리그 클린시트왕은 누구야?,번리의 1995-96 시즌 리그 클린시트왕은 크리스 피어스(Chris Pearce)입니다 - 15회입니다.
번리의 1997-98 시즌 리그 클린시트왕은 누구야?,번리의 1997-98 시즌 리그 클린시트왕은 폴 크리치(Paul Crichton)입니다 - 12회입니다.
번리의 2000-01 시즌 리그 클린시트왕은 누구야?,번리의 2000-01 시즌 리그 클린시트왕은 닐 설리번(Neil Sullivan)입니다 - 13회입니다.
번리의 2008-09 시즌 리그 클린시트왕은 누구야?,번리의 2008-09 시즌 리그 클린시트왕은 브라이언 젠슨(Brian Jensen)입니다 - 11회입니다.
번리의 2017-18 시즌 리그 클린시트왕은 누구야?,번리의 2017-18 시즌 리그 클린시트왕은 닉 포프(Nick Pope)입니다 - 15회입니다.
번리의 2022-23 시즌 리그 클린시트왕은 누구야?,번리의 2022-23 시즌 리그 클린시트왕은 아리야네트 무리치(Arijanet Muric)입니다 - 10회입니다.
번리의 역사 알려줘,"""번리 FC의 역사 창단과 초기 역사 (1882-1945): 1882년: 번리는 ""The Clarets""로 창단되었습니다. 초기에는 지역 리그에서 활약했습니다. 1901년: 번리는 FA컵 첫 우승을 차지하며, 클럽 역사상 첫 주요 트로피를 획득했습니다. 빌리 와트슨 시대 (1958-1974): 1960-61 시즌: 번리는 잉글리시 리그와 FA컵 더블 우승을 차지하며, 20세기 최초의 더블 우승 팀이 되었습니다. 1963년: 번리는 UEFA 컵 위너스 컵에서 우승하며, 유럽 대회 첫 우승을 달성했습니다. 현대 (2000-현재): 2008년: 번리는 리그 컵에서 우승하며, 21세기 첫 주요 트로피를 획득했습니다. 2019년: 번리는 UEFA 챔피언스 리그 결승에 진출하였으나, 리버풀에게 패배하며 준우승에 머물렀습니다. 현재: 번리는 빈센트 콤파니 감독 아래 리그와 유럽 대항전에서 다시금 성공을 목표로 하고 있습니다. 번리 FC는 축구 역사상 가장 중요한 클럽 중 하나로, 수많은 리그 타이틀, 컵 대회 우승, 그리고 유럽 대항전에서의 성공을 기록해왔습니다. 클럽은 전 세계 수많은 팬들에게 사랑받으며, 그 영향력은 지금도 계속되고 있습니다."""
번리의 역대 선수들을 알려줘,"""번리 FC의 역대 선수들은 클럽의 성공과 역사에 큰 기여를 한 인물들로 구성되어 있습니다. 다음은 번리의 대표적인 역대 선수들입니다: 전설적인 선수들 1. 앤디 콜 (Andy Cole) 포지션: 포워드 활약 기간: 1992-1995 특징: 뛰어난 골 결정력으로 유명하며, 번리의 역대 최다 득점자입니다. 2. 마틴 도브슨 (Martin Dobson) 포지션: 미드필더 활약 기간: 1974-1981 특징: 1974-75 시즌 더블 우승 당시 팀의 주장이었습니다. 3. 프랭크 캐스퍼 (Frank Casper) 포지션: 미드필더 활약 기간: 1968-1974 특징: 창의적인 플레이와 뛰어난 패스 능력으로 유명한 선수입니다. 4. 데이비드 지놀라 (David Ginola) 포지션: 윙어 활약 기간: 1997-2000 특징: 뛰어난 드리블 능력과 창의적인 플레이로 팬들에게 사랑받았습니다. 5. 개러스 베일 (Gareth Bale) 포지션: 윙어 활약 기간: 2007-2013, 2020-2021 특징: 폭발적인 속도와 강력한 슈팅 능력으로 유명한 선수입니다. 6. 마이크 서머비 (Mike Summerbee) 포지션: 미드필더 활약 기간: 1975-1977 특징: 뛰어난 기술과 창의적인 플레이로 팬들에게 사랑받았습니다. 7. 데이비드 스윈들허스트 (David Swindlehurst) 포지션: 포워드 활약 기간: 1972-1980 특징: 뛰어난 골 결정력과 공중볼 경합 능력으로 유명합니다. 8. 닉 카비 (Nick Carle) 포지션: 미드필더 활약 기간: 2008-2010 특징: 뛰어난 기술과 경기 운영 능력으로 유명한 선수입니다. 9. 줄리안 베넷 (Julian Bennett) 포지션: 수비수 활약 기간: 2010-2012 특징: 강력한 태클과 수비력으로 유명한 선수입니다. 10. 제이슨 펀천 (Jason Puncheon) 포지션: 미드필더 활약 기간: 2013-2019 특징: 뛰어난 기술과 창의적인 플레이로 팬들에게 사랑받았습니다."""
클럽의 주요 역사적 순간들이 뭐야,"""번리의 주요 역사적 순간들 1. 1905년 창단: 클럽이 창단되어 첫 경기를 치렀습니다. 2. 1921년: 첫 1부 리그 진출. 3. 1976년: FA컵 준결승 진출. 4. 1990년: FA컵 결승 진출. 5. 1991년: 잉글리시 풀멤버스컵(English Full Members Cup) 우승. 6. 2013년: 챔피언십 플레이오프 우승, 프리미어 리그 승격. 7. 2016년: FA컵 결승 진출. 8. 2020년: 클럽 역사상 최고 리그 순위 기록."""
번리의 1군 선수들 알려줘,"""1 아리야네트 무리치 (Arijanet Muric) 골키퍼 (GK) 코소보 1998.11.07 20222026 2 콘라드 리만도우스키 (Connor Roberts) 수비수 (DF) 웨일즈 1995.09.23 20212025 3 찰리 테일러 (Charlie Taylor) 수비수 (DF) 잉글랜드 1993.09.18 20172025 4 잭 코크 (Jack Cork) 미드필더 (MF) 잉글랜드 1989.06.25 20172024 5 제임스 타코우스키 (James Tarkowski) 수비수 (DF) 잉글랜드 1992.11.19 20162025 6 벤 미 (Ben Mee) 수비수 (DF) 잉글랜드 1989.09.21 20112023 7 요한 구드문드손 (Johann Gudmundsson) 미드필더 (MF) 아이슬란드 1990.10.27 20152024 8 조시 브라운힐 (Josh Brownhill) 미드필더 (MF) 잉글랜드 1995.12.19 20202025 9 애슐리 반스 (Ashley Barnes) 포워드 (FW) 잉글랜드 1989.10.30 20142024 10 매테이 비드라 (Matej Vydra) 포워드 (FW) 체코 1992.05.01 20182024 11 드와이트 맥닐 (Dwight McNeil) 미드필더 (MF) 잉글랜드 1999.11.22 20182025 12 로비 브래디 (Robbie Brady) 미드필더 (MF) 아일랜드 1992.01.14 20172024 13 웨인 헤네시 (Wayne Hennessey) 골키퍼 (GK) 웨일즈 1987.01.24 20212023 14 너새니얼 필립스 (Nathaniel Phillips) 수비수 (DF) 잉글랜드 1997.03.21 20222026 15 에릭 피터스 (Erik Pieters) 수비수 (DF) 네덜란드 1988.08.07 20192023 16 데일 스티븐스 (Dale Stephens) 미드필더 (MF) 잉글랜드 1989.06.12 20202024 17 아론 레넌 (Aaron Lennon) 미드필더 (MF) 잉글랜드 1987.04.16 20172022 18 애슐리 웨스트우드 (Ashley Westwood) 미드필더 (MF) 잉글랜드 1990.04.01 20172024 19 제이 로드리게스 (Jay Rodriguez) 포워드 (FW) 잉글랜드 1989.07.29 20192024 20 케빈 롱 (Kevin Long) 수비수 (DF) 아일랜드 1990.08.18 20102024 21 피터 크라우치 (Peter Crouch) 포워드 (FW) 잉글랜드 1981.01.30 20192022 22 필 바슬리 (Phil Bardsley) 수비수 (DF) 스코틀랜드 1985.06.28 20172024"""
1958년 스웨덴 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
1966년 잉글랜드 월드컵 우승 기록이 뭐야?,"본선 진출, 8강입니다."
1970년 멕시코 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
1982년 스페인 월드컵 우승 기록이 뭐야?,"본선 진출, 16강입니다."
1986년 멕시코 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
1990년 이탈리아 월드컵 우승 기록이 뭐야?,"본선 진출, 8강입니다."
1994년 미국 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
1998년 프랑스 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
2002년 한일 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
2010년 남아공 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
2014년 브라질 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
2018년 러시아 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
2022년 카타르 월드컵 우승 기록이 뭐야?,예선 탈락입니다.
첼시의 정식 명칭은 뭐야,"첼시의 정식 명칭은 ""Chelsea Football Club"" 입니다."
첼시의 정식 명칭 알려줘,"""Chelsea Football Club""이 첼시의 정식 명칭입니다."
첼시 정식 명칭,"첼시의 정식 명칭은 ""Chelsea Football Club"" 입니다."
첼시의 별칭이 뭐야,첼시의 별칭은 블루스 (The Blues)입니다.
첼시의 별칭 알려줘,첼시의 별칭은 다음과 같습니다. 블루스 (The Blues)
첼시 별칭,첼시의 별칭은 블루스 (The Blues)입니다.
첼시의 연고지가 어디야,첼시의 연고지는 런던 (London) 해머스미스 앤 풀럼 (Hammersmith and Fulham)입니다.
첼시의 연고지 알려줘,첼시의 연고지는 런던 해머스미스 앤 풀럼 (London Hammersmith and Fulham)입니다.
첼시의 연고지,첼시는 런던 해머스미스 앤 풀럼 (London Hammersmith and Fulham) 을 연고지로 두고 있습니다.
첼시의 홈구장이 어디야,첼시의 홈구장은 스탬퍼드 브리지 (Stamford Bridge)입니다.
첼시의 홈구장 알려줘,첼시의 홈구장은 Stamford Bridge (스탬퍼드 브리지)입니다.
첼시 홈구장,첼시의 홈구장은 스탬퍼드 브리지 (Stamford Bridge)입니다.
첼시의 라이벌이 누구야,"첼시의 라이벌은 토트넘 홋스퍼 FC, 아스날 FC 등이 있습니다. 런던 더비로 부릅니다."
첼시의 라이벌 알려줘,"첼시의 라이벌입니다. 토트넘 홋스퍼 FC, 아스날 FC 등이 있고 런던 더비라고 불립니다."
첼시 라이벌,"첼시의 라이벌입니다. 토트넘 홋스퍼 FC, 아스날 FC 등이 있고 런던 더비라고 불립니다."
첼시의 창립자가 누구야,첼시의 창립자는 거스 미어스 (Gus Mears)이고 그가 죽은 후 그의 형인 조셉 미어스(Joseph Mears)가 구단주가 되었습니다.
첼시의 창립자 알려줘,첼시는 거스 미어스 (Gus Mears)와 조셉 미어스 (Joseph Mears) 형제가 창립했습니다.
첼시 창립자,첼시는 거스 미어스 (Gus Mears)와 조셉 미어스 (Joseph Mears) 형제가 창립했습니다.
첼시의 구단주가 누구야,첼시의 구단주는 토드 보엘리 (Todd Boehly)와 클리어레이크 캐피탈 (Clearlake Capital)이 이끄는 컨소시엄입니다.
첼시의 구단주 알려줘,첼시의 구단주는 블루코 리미티드(Boehly-Clearlake)입니다. 토드 보엘리(Todd Boehly)와 클리어레이크 캐피탈(Clearlake Capital)이 이끄는 회사입니다.
첼시 구단주,첼시의 구단주는 블루코 리미티드(Boehly-Clearlake)입니다. 토드 보엘리(Todd Boehly)와 클리어레이크 캐피탈(Clearlake Capital)이 이끄는 회사입니다.
첼시의 회장이 누구야,"첼시의 회장은 토드 볼리 (Todd Boehly)입니다. 그는 미국 프로게임단 Cloud9의 소유주이자 로스앤젤레스 다저스의 지분 20%, 로스앤젤레스 레이커스의 지분 27%를 소유하고 있습니다."
첼시의 회장 알려줘,"첼시의 회장은 토드 볼리 (Todd Boehly)입니다. 그는 미국 프로게임단 Cloud9의 소유주이자 로스앤젤레스 다저스의 지분 20%, 로스앤젤레스 레이커스의 지분 27%를 소유하고 있습니다."
첼시 회장,"첼시의 회장은 토드 볼리 (Todd Boehly)입니다. 그는 미국 프로게임단 Cloud9의 소유주이자 로스앤젤레스 다저스의 지분 20%, 로스앤젤레스 레이커스의 지분 27%를 소유하고 있습니다."
첼시의 감독이 누구야,첼시의 감독은 엔초 마레스카 (Enzo Maresca)입니다. 그는 탈리아의 축구 선수 출신으로 현재 첼시 FC의 감독을 맡고 있습니다.
첼시의 감독 알려줘,첼시의 감독은 엔초 마레스카 (Enzo Maresca)입니다. 그는 탈리아의 축구 선수 출신으로 현재 첼시 FC의 감독을 맡고 있습니다.
첼시 감독,첼시의 감독은 엔초 마레스카 (Enzo Maresca)입니다. 그는 탈리아의 축구 선수 출신으로 현재 첼시 FC의 감독을 맡고 있습니다.
첼시의 주장이 누구야,첼시의 주장은 리스 제임스 (Reece James)입니다. 포지션은 라이트백으로 첼시의 주장을 맡고 있습니다.
첼시의 주장 알려줘,"첼시의 주장은 리스 제임스 (Reece James), 포지션은 라이트백으로서 첼시의 주장을 맡고 있습니다."
첼시 주장,"첼시의 주장은 리스 제임스 (Reece James), 포지션은 라이트백으로서 첼시의 주장을 맡고 있습니다."
첼시의 선수 목록 알려줘,"첼시의 24/25시즌 현재 선수 목록입니다.
골키퍼
로버트 산체스 (No. 1)
마커스 베티넬리 (No. 13)
조르데 페트로비치 (No. 28)
루카스 베르그스트롬 (No. 47)

수비수
악셀 디사시 (No. 2)
마크 쿠쿠렐라 (No. 3)
토신 아다라비오요 (No. 4)
베누아 바디아실 (No. 5)
레비 콜윌 (No. 6)
트레보 찰로바 (No. 14)
벤 칠웰 (No. 21)
리즈 제임스 (No. 24, 캡틴)
말로 구스토 (No. 27)
웨슬리 포파나 (No. 29)
알피 길크리스트 (No. 42)
레나토 베이가 (No. 40)

미드필더
엔조 페르난데스 (No. 8)
레스리 우고추쿠 (No. 16)
카니 추쿠에메카 (No. 17)
키어넌 듀즈버리-홀 (No. 22)
코너 갤러거 (No. 23)
모이세스 카이세도 (No. 25)
체사레 카사데이 (No. 31)
로미오 라비아 (No. 45)

공격수
라힘 스털링 (No. 7)
미하일로 무드리크 (No. 10)
노니 마두에케 (No. 11)
니콜라스 잭슨 (No. 15)
크리스토퍼 은쿤쿠 (No. 18)
아르만도 브로야 (No. 19)
콜 파머 (No. 20)
데이비드 워싱턴 (No. 36)
오마리 켈리맨 (No. 37)
마크 귀유 (No. 38)
디에고 모레이라 (No. 43)"
첼시의 선수 목록 어떻게 돼,"첼시의 24/25시즌 현재 선수 목록입니다.
골키퍼
로버트 산체스 (No. 1)
마커스 베티넬리 (No. 13)
조르데 페트로비치 (No. 28)
루카스 베르그스트롬 (No. 47)

수비수
악셀 디사시 (No. 2)
마크 쿠쿠렐라 (No. 3)
토신 아다라비오요 (No. 4)
베누아 바디아실 (No. 5)
레비 콜윌 (No. 6)
트레보 찰로바 (No. 14)
벤 칠웰 (No. 21)
리즈 제임스 (No. 24, 캡틴)
말로 구스토 (No. 27)
웨슬리 포파나 (No. 29)
알피 길크리스트 (No. 42)
레나토 베이가 (No. 40)

미드필더
엔조 페르난데스 (No. 8)
레스리 우고추쿠 (No. 16)
카니 추쿠에메카 (No. 17)
키어넌 듀즈버리-홀 (No. 22)
코너 갤러거 (No. 23)
모이세스 카이세도 (No. 25)
체사레 카사데이 (No. 31)
로미오 라비아 (No. 45)

공격수
라힘 스털링 (No. 7)
미하일로 무드리크 (No. 10)
노니 마두에케 (No. 11)
니콜라스 잭슨 (No. 15)
크리스토퍼 은쿤쿠 (No. 18)
아르만도 브로야 (No. 19)
콜 파머 (No. 20)
데이비드 워싱턴 (No. 36)
오마리 켈리맨 (No. 37)
마크 귀유 (No. 38)
디에고 모레이라 (No. 43)"
첼시 선수 목록,"첼시의 24/25시즌 현재 선수 목록입니다.
골키퍼
로버트 산체스 (No. 1)
마커스 베티넬리 (No. 13)
조르데 페트로비치 (No. 28)
루카스 베르그스트롬 (No. 47)

수비수
악셀 디사시 (No. 2)
마크 쿠쿠렐라 (No. 3)
토신 아다라비오요 (No. 4)
베누아 바디아실 (No. 5)
레비 콜윌 (No. 6)
트레보 찰로바 (No. 14)
벤 칠웰 (No. 21)
리즈 제임스 (No. 24, 캡틴)
말로 구스토 (No. 27)
웨슬리 포파나 (No. 29)
알피 길크리스트 (No. 42)
레나토 베이가 (No. 40)

미드필더
엔조 페르난데스 (No. 8)
레스리 우고추쿠 (No. 16)
카니 추쿠에메카 (No. 17)
키어넌 듀즈버리-홀 (No. 22)
코너 갤러거 (No. 23)
모이세스 카이세도 (No. 25)
체사레 카사데이 (No. 31)
로미오 라비아 (No. 45)

공격수
라힘 스털링 (No. 7)
미하일로 무드리크 (No. 10)
노니 마두에케 (No. 11)
니콜라스 잭슨 (No. 15)
크리스토퍼 은쿤쿠 (No. 18)
아르만도 브로야 (No. 19)
콜 파머 (No. 20)
데이비드 워싱턴 (No. 36)
오마리 켈리맨 (No. 37)
마크 귀유 (No. 38)
디에고 모레이라 (No. 43)"
첼시 선수 명단,"첼시의 24/25시즌 현재 선수 목록입니다.
골키퍼
로버트 산체스 (No. 1)
마커스 베티넬리 (No. 13)
조르데 페트로비치 (No. 28)
루카스 베르그스트롬 (No. 47)

수비수
악셀 디사시 (No. 2)
마크 쿠쿠렐라 (No. 3)
토신 아다라비오요 (No. 4)
베누아 바디아실 (No. 5)
레비 콜윌 (No. 6)
트레보 찰로바 (No. 14)
벤 칠웰 (No. 21)
리즈 제임스 (No. 24, 캡틴)
말로 구스토 (No. 27)
웨슬리 포파나 (No. 29)
알피 길크리스트 (No. 42)
레나토 베이가 (No. 40)

미드필더
엔조 페르난데스 (No. 8)
레스리 우고추쿠 (No. 16)
카니 추쿠에메카 (No. 17)
키어넌 듀즈버리-홀 (No. 22)
코너 갤러거 (No. 23)
모이세스 카이세도 (No. 25)
체사레 카사데이 (No. 31)
로미오 라비아 (No. 45)

공격수
라힘 스털링 (No. 7)
미하일로 무드리크 (No. 10)
노니 마두에케 (No. 11)
니콜라스 잭슨 (No. 15)
크리스토퍼 은쿤쿠 (No. 18)
아르만도 브로야 (No. 19)
콜 파머 (No. 20)
데이비드 워싱턴 (No. 36)
오마리 켈리맨 (No. 37)
마크 귀유 (No. 38)
디에고 모레이라 (No. 43)"
첼시의 선수 명단 알려줘,"첼시의 24/25시즌 현재 선수 목록입니다.
골키퍼
로버트 산체스 (No. 1)
마커스 베티넬리 (No. 13)
조르데 페트로비치 (No. 28)
루카스 베르그스트롬 (No. 47)

수비수
악셀 디사시 (No. 2)
마크 쿠쿠렐라 (No. 3)
토신 아다라비오요 (No. 4)
베누아 바디아실 (No. 5)
레비 콜윌 (No. 6)
트레보 찰로바 (No. 14)
벤 칠웰 (No. 21)
리즈 제임스 (No. 24, 캡틴)
말로 구스토 (No. 27)
웨슬리 포파나 (No. 29)
알피 길크리스트 (No. 42)
레나토 베이가 (No. 40)

미드필더
엔조 페르난데스 (No. 8)
레스리 우고추쿠 (No. 16)
카니 추쿠에메카 (No. 17)
키어넌 듀즈버리-홀 (No. 22)
코너 갤러거 (No. 23)
모이세스 카이세도 (No. 25)
체사레 카사데이 (No. 31)
로미오 라비아 (No. 45)

공격수
라힘 스털링 (No. 7)
미하일로 무드리크 (No. 10)
노니 마두에케 (No. 11)
니콜라스 잭슨 (No. 15)
크리스토퍼 은쿤쿠 (No. 18)
아르만도 브로야 (No. 19)
콜 파머 (No. 20)
데이비드 워싱턴 (No. 36)
오마리 켈리맨 (No. 37)
마크 귀유 (No. 38)
디에고 모레이라 (No. 43)"
첼시의 UEFA 랭킹이 어떻게 돼,"첼시의 UEFA 랭킹은 9위입니다.
이 랭킹은 지난 5시즌 동안 유럽 대항전(챔피언스리그, 유로파리그, 유로파 컨퍼런스리그)에서 첼시가 획득한 포인트를 기반으로 산출됩니다."
첼시의 UEFA 랭킹 알려줘,"첼시의 UEFA 랭킹은 9위입니다.
이 랭킹은 지난 5시즌 동안 유럽 대항전(챔피언스리그, 유로파리그, 유로파 컨퍼런스리그)에서 첼시가 획득한 포인트를 기반으로 산출됩니다."
첼시 랭킹,"첼시의 UEFA 랭킹은 9위입니다.
이 랭킹은 지난 5시즌 동안 유럽 대항전(챔피언스리그, 유로파리그, 유로파 컨퍼런스리그)에서 첼시가 획득한 포인트를 기반으로 산출됩니다."
첼시의 EPL 우승 기록 알려줘,"첼시의 EPL 우승 기록은 6회로 1954-55, 2004-05, 2005-06, 2009-10, 2014-15,
2016-17시즌에 우승을 달성했습니다."
첼시의 EPL 우승 기록이 어떻게 돼,"첼시의 EPL 우승 기록은 총 6회로 1954-55, 2004-05, 2005-06, 2009-10, 2014-15,
2016-17시즌에 우승을 달성했습니다."
첼시 EPL 우승 기록,"첼시의 EPL 우승 기록은 총 6회로 1954-55, 2004-05, 2005-06, 2009-10, 2014-15,
2016-17시즌에 우승을 달성했습니다."
첼시의 FA컵 우승 기록 알려줘,"첼시의 FA컵 우승 기록은 총 8회로 1969-70, 1996-97, 1999-00, 2006-07, 2008-09,
2009-10, 2011-12, 2017-18시즌에 우승을 달성했습니다."
첼시의 FA컵 우승 기록이 어떻게 돼,"첼시의 FA컵 우승 기록은 총 8회로 1969-70, 1996-97, 1999-00, 2006-07, 2008-09,
2009-10, 2011-12, 2017-18시즌에 우승을 달성했습니다."
첼시 FA컵 우승 기록,"첼시의 FA컵 우승 기록은 총 8회로 1969-70, 1996-97, 1999-00, 2006-07, 2008-09,
2009-10, 2011-12, 2017-18시즌에 우승을 달성했습니다."
첼시의 EFL 우승 기록 알려줘,"첼시의 EFL 우승 기록은 총 5회로 1964-65, 1997-98, 2004-05, 2006-07, 2014-15 시즌에 우승을 달성했습니다."
